number,crime,lat,long,date,Nbh_ID,Loc_type_ID,beat_ID
100020695.0,Burglary-Nonres,33.83698,-84.37996,2010-01-02,27,2,9
100050647.0,Larceny-From Vehicle,33.77487,-84.38975,2010-01-05,14,2,25
100200939.0,Larceny-Non Vehicle,33.72643,-84.4023,2010-01-20,28,1,26
100061095.0,Robbery-Commercial,33.84737,-84.42974,2010-01-06,29,4,27
100090894.0,Larceny-Non Vehicle,33.77282,-84.41423,2010-01-09,30,1,28
100200072.0,Larceny-Non Vehicle,33.76444,-84.3884,2010-01-20,15,2,29
100111631.0,Larceny-Non Vehicle,33.80388,-84.41278,2010-01-11,20,3,30
100021505.0,Agg Assault,33.75802,-84.44398,2010-01-02,31,1,31
100141263.0,Larceny-Non Vehicle,33.74699,-84.30494,2010-01-14,32,4,32
100311084.0,Larceny-Non Vehicle,33.82403,-84.36328,2010-01-31,9,3,8
100111121.0,Larceny-From Vehicle,33.73581,-84.44362,2010-01-11,23,1,21
100070977.0,Larceny-Non Vehicle,33.78999,-84.47156,2010-01-07,33,1,33
100111722.0,Burglary-Residence,33.74057,-84.41738,2010-01-11,34,1,34
100160620.0,Larceny-From Vehicle,33.76435,-84.37732,2010-01-16,35,2,35
100180939.0,Agg Assault,33.74694,-84.39442,2010-01-18,15,7,36
100241079.0,Larceny-From Vehicle,33.84676,-84.36212,2010-01-24,36,3,6
100031334.0,Auto Theft,33.76086,-84.40756,2010-01-03,37,1,37
100260804.0,Larceny-From Vehicle,33.75752,-84.39191,2010-01-26,15,4,29
100181574.0,Larceny-Non Vehicle,33.70653,-84.45745,2010-01-18,38,1,19
100060432.0,Burglary-Nonres,33.73331,-84.44522,2010-01-06,12,1,21
100231655.0,Larceny-Non Vehicle,33.74651,-84.40675,2010-01-23,39,1,38
100181583.0,Auto Theft,33.82756,-84.40685,2010-01-18,40,1,39
100282243.0,Larceny-From Vehicle,33.83477,-84.38598,2010-01-28,41,7,9
100270950.0,Burglary-Residence,33.69869,-84.48265,2010-01-27,21,1,19
100180825.0,Larceny-Non Vehicle,33.75605,-84.34813,2010-01-18,42,3,40
100271539.0,Larceny-Non Vehicle,33.77417,-84.35507,2010-01-27,2,4,2
100091255.0,Agg Assault,33.68465,-84.39742,2010-01-09,43,1,41
100091456.0,Burglary-Residence,33.76156,-84.42494,2010-01-09,44,1,31
100250985.0,Burglary-Residence,33.75697,-84.32453,2010-01-25,45,1,42
100201348.0,Burglary-Residence,33.76828,-84.50438,2010-01-20,46,1,43
100091180.0,Larceny-From Vehicle,33.77725,-84.38285,2010-01-09,14,2,25
100130950.0,Larceny-Non Vehicle,33.76631,-84.44415,2010-01-13,47,1,44
100021675.0,Burglary-Nonres,33.69544,-84.48681,2010-01-02,21,1,19
100250671.0,Larceny-From Vehicle,33.75686,-84.46887,2010-01-25,48,7,45
100040983.0,Larceny-From Vehicle,33.75403,-84.3897,2010-01-04,15,1,13
100060743.0,Agg Assault,33.70838,-84.3593,2010-01-06,49,1,46
100250633.0,Larceny-From Vehicle,33.78159,-84.41347,2010-01-25,50,1,47
100171042.0,Larceny-Non Vehicle,33.71691,-84.39276,2010-01-17,1,1,1
100141446.0,Burglary-Residence,33.72393,-84.46186,2010-01-14,12,1,48
100222294.0,Auto Theft,33.75825,-84.39067,2010-01-22,15,3,29
100282399.0,Robbery-Pedestrian,33.77425,-84.44728,2010-01-28,47,1,44
100170136.0,Larceny-From Vehicle,33.80856,-84.37506,2010-01-17,51,1,15
100071312.0,Larceny-From Vehicle,33.75757,-84.39487,2010-01-07,15,2,49
100030153.0,Auto Theft,33.84045,-84.37028,2010-01-03,10,1,9
100090378.0,Larceny-From Vehicle,33.76421,-84.37206,2010-01-09,35,1,35
100272231.0,Larceny-Non Vehicle,33.77756,-84.38482,2010-01-27,14,1,25
100231066.0,Larceny-Non Vehicle,33.84366,-84.3793,2010-01-23,52,1,9
100171495.0,Larceny-From Vehicle,33.84676,-84.36212,2010-01-17,36,3,6
100250099.0,Auto Theft,33.70138,-84.51959,2010-01-25,19,1,17
100180460.0,Auto Theft,33.71691,-84.39276,2010-01-18,1,1,1
100110871.0,Burglary-Residence,33.67606,-84.50729,2010-01-11,53,1,5
100170697.0,Larceny-From Vehicle,33.77248,-84.37857,2010-01-17,14,1,25
100231983.0,Larceny-From Vehicle,33.81042,-84.36024,2010-01-23,54,2,15
100060887.0,Burglary-Residence,33.75891,-84.43995,2010-01-06,31,1,31
100251206.0,Larceny-From Vehicle,33.75409,-84.36863,2010-01-25,35,4,50
100041079.0,Robbery-Residence,33.6552,-84.3559,2010-01-04,22,1,20
100011342.0,Robbery-Commercial,33.80002,-84.37168,2010-01-01,51,4,51
100180587.0,Larceny-From Vehicle,33.69551,-84.51897,2010-01-18,19,6,17
100271587.0,Burglary-Residence,33.76057,-84.50057,2010-01-27,55,1,52
100011107.0,Auto Theft,33.74985,-84.39389,2010-01-01,15,1,36
100131314.0,Larceny-Non Vehicle,33.71409,-84.43661,2010-01-13,7,1,7
100181720.0,Larceny-From Vehicle,33.79061,-84.38308,2010-01-18,56,1,12
100271957.0,Burglary-Residence,33.69312,-84.52494,2010-01-27,57,1,53
100161718.0,Larceny-From Vehicle,33.7776,-84.35159,2010-01-16,2,1,2
100080043.0,Larceny-Non Vehicle,33.76909,-84.38208,2010-01-08,15,1,54
100070204.0,Burglary-Nonres,33.72226,-84.46181,2010-01-07,38,4,19
100031247.0,Burglary-Residence,33.7402,-84.35095,2010-01-03,58,1,55
100060120.0,Burglary-Residence,33.73941,-84.39806,2010-01-06,59,1,56
100210929.0,Burglary-Residence,33.80429,-84.46555,2010-01-24,60,1,57
100181839.0,Burglary-Residence,33.84221,-84.35822,2010-01-18,6,1,6
100050797.0,Burglary-Residence,33.71479,-84.43899,2010-01-05,7,1,7
100200133.0,Agg Assault,33.75607,-84.33621,2010-01-20,42,8,40
100070960.0,Burglary-Residence,33.71438,-84.43884,2010-01-07,7,1,7
100231062.0,Larceny-Non Vehicle,33.76465,-84.39115,2010-01-23,15,1,29
100110449.0,Auto Theft,33.74771,-84.42066,2010-01-11,61,7,58
100020990.0,Larceny-From Vehicle,33.75596,-84.39031,2010-01-02,15,1,29
100191613.0,Burglary-Residence,33.81987,-84.37116,2010-01-19,9,2,8
100060363.0,Larceny-Non Vehicle,33.68845,-84.49328,2010-01-06,24,9,23
100070910.0,Burglary-Residence,33.71124,-84.49153,2010-01-07,21,1,19
100241418.0,Burglary-Residence,33.76435,-84.43533,2010-01-24,47,7,44
100091725.0,Burglary-Residence,33.76479,-84.4579,2010-01-09,62,1,45
100191993.0,Larceny-Non Vehicle,33.84676,-84.36212,2010-01-19,36,3,6
100041590.0,Larceny-Non Vehicle,33.73847,-84.41662,2010-01-04,34,8,34
100292388.0,Agg Assault,33.71857,-84.43741,2010-01-29,7,1,10
100201875.0,Larceny-From Vehicle,33.7805,-84.38752,2010-01-20,14,7,22
100281627.0,Burglary-Residence,33.71204,-84.42039,2010-01-28,63,1,59
100040266.0,Auto Theft,33.67532,-84.50348,2010-01-04,64,1,5
100220269.0,Agg Assault,33.77151,-84.47866,2010-01-22,65,1,60
100041288.0,Agg Assault,33.76383,-84.41787,2010-01-04,66,1,61
100301938.0,Agg Assault,33.72503,-84.37846,2010-01-30,67,1,62
100131324.0,Larceny-Non Vehicle,33.68274,-84.40902,2010-01-13,68,3,63
100261447.0,Larceny-Non Vehicle,33.71412,-84.39753,2010-01-26,69,1,11
100251699.0,Larceny-From Vehicle,33.77379,-84.36821,2010-01-25,14,1,64
100160508.0,Auto Theft,33.75823,-84.41382,2010-01-16,37,1,37
100201624.0,Burglary-Residence,33.72114,-84.37894,2010-01-20,70,1,1
100251116.0,Larceny-Non Vehicle,33.78794,-84.39899,2010-01-25,71,1,47
100041511.0,Larceny-From Vehicle,33.85988,-84.38156,2010-01-04,72,4,65
100161248.0,Burglary-Residence,33.78257,-84.41167,2010-01-16,50,1,47
100262190.0,Larceny-From Vehicle,33.83696,-84.37864,2010-01-26,27,4,9
100141287.0,Larceny-From Vehicle,33.7544,-84.37946,2010-01-14,15,10,66
100240695.0,Auto Theft,33.73328,-84.391,2010-01-24,18,5,16
100130807.0,Larceny-From Vehicle,33.7482,-84.32651,2010-01-13,45,1,42
100030194.0,Burglary-Residence,33.84895,-84.34904,2010-01-03,6,7,6
100020864.0,Larceny-Non Vehicle,33.84743,-84.37089,2010-01-02,73,2,67
100120276.0,Agg Assault,33.68096,-84.40021,2010-01-12,74,7,68
100260491.0,Auto Theft,33.75094,-84.39303,2010-01-26,15,2,36
100050704.0,Larceny-Non Vehicle,33.68274,-84.40902,2010-01-05,68,3,63
100170215.0,Robbery-Pedestrian,33.76376,-84.43528,2010-01-17,47,1,44
100181026.0,Larceny-Non Vehicle,33.79469,-84.38994,2010-01-18,14,4,12
100060674.0,Burglary-Residence,33.75478,-84.43595,2010-01-06,44,1,31
100240052.0,Burglary-Residence,33.73541,-84.33844,2010-01-24,75,1,69
100261441.0,Larceny-Non Vehicle,33.7921,-84.39466,2010-01-26,76,7,47
100041215.0,Larceny-From Vehicle,33.78437,-84.38222,2010-01-04,14,1,22
100201459.0,Larceny-Non Vehicle,33.84676,-84.36212,2010-01-20,36,3,6
100110271.0,Auto Theft,33.74366,-84.50936,2010-01-11,8,1,4
100050854.0,Burglary-Residence,33.71706,-84.43584,2010-01-05,7,1,10
100290612.0,Larceny-From Vehicle,33.78407,-84.35753,2010-01-29,2,1,2
100101440.0,Robbery-Commercial,33.70665,-84.37927,2010-01-10,13,1,11
100051597.0,Auto Theft,33.76722,-84.45058,2010-01-05,47,1,44
100070961.0,Larceny-From Vehicle,33.78143,-84.4152,2010-01-07,30,1,28
100192118.0,Larceny-Non Vehicle,33.80678,-84.36669,2010-01-19,51,3,15
100121388.0,Burglary-Residence,33.66631,-84.36409,2010-01-12,22,1,20
100121309.0,Burglary-Residence,33.78573,-84.46787,2010-01-12,33,1,70
100010655.0,Agg Assault,33.74513,-84.38165,2010-01-10,77,4,62
100111933.0,Larceny-From Vehicle,33.78178,-84.38047,2010-01-11,14,4,22
100070819.0,Larceny-Non Vehicle,33.84512,-84.42541,2010-01-07,29,1,71
100071282.0,Auto Theft,33.75166,-84.46789,2010-01-07,78,1,72
100110794.0,Auto Theft,33.67424,-84.49697,2010-01-11,24,1,23
100221205.0,Agg Assault,33.71456,-84.38322,2010-01-22,79,1,1
100180714.0,Burglary-Residence,33.69632,-84.51395,2010-01-18,80,1,17
100130584.0,Auto Theft,33.84441,-84.36862,2010-01-13,81,5,67
100051699.0,Larceny-Non Vehicle,33.7762,-84.47236,2010-01-05,62,1,70
100081713.0,Burglary-Residence,33.73017,-84.46685,2010-01-08,82,1,48
100040875.0,Larceny-Non Vehicle,33.7028,-84.41785,2010-01-04,63,1,59
100132011.0,Larceny-Non Vehicle,33.73396,-84.40177,2010-01-13,28,1,26
100051544.0,Burglary-Nonres,33.74912,-84.32352,2010-01-05,45,1,42
100130407.0,Larceny-From Vehicle,33.77192,-84.42763,2010-01-13,47,7,61
100202026.0,Burglary-Residence,33.72487,-84.3998,2010-01-20,28,1,26
100180993.0,Larceny-From Vehicle,33.83995,-84.3514,2010-01-18,6,1,6
100211179.0,Burglary-Residence,33.7991,-84.37787,2010-01-21,56,1,12
100171450.0,Larceny-From Vehicle,33.74864,-84.33021,2010-01-17,45,1,42
100061274.0,Larceny-From Vehicle,33.80796,-84.48099,2010-01-06,83,1,73
100132146.0,Auto Theft,33.67286,-84.38706,2010-01-13,84,11,74
100100444.0,Robbery-Pedestrian,33.70919,-84.35967,2010-01-10,85,1,55
100260441.0,Larceny-From Vehicle,33.69143,-84.35149,2010-01-26,86,1,46
100230299.0,Auto Theft,33.69532,-84.51838,2010-01-23,19,6,17
100071325.0,Auto Theft,33.74048,-84.38075,2010-01-07,67,1,62
100050068.0,Larceny-From Vehicle,33.78218,-84.37867,2010-01-05,14,1,12
100100368.0,Larceny-From Vehicle,33.6795,-84.36897,2010-01-10,87,1,74
100020617.0,Larceny-Non Vehicle,33.81558,-84.366,2010-01-02,17,3,8
100281479.0,Robbery-Pedestrian,33.71835,-84.38582,2010-01-28,79,1,1
100071255.0,Burglary-Residence,33.77458,-84.46782,2010-01-07,62,1,70
100210400.0,Auto Theft,33.68726,-84.35441,2010-01-21,88,1,46
100240845.0,Larceny-From Vehicle,33.71804,-84.38216,2010-01-24,79,1,1
100151144.0,Burglary-Residence,33.72159,-84.33115,2010-01-15,75,1,69
100271075.0,Larceny-Non Vehicle,33.74675,-84.42725,2010-01-27,34,1,58
100152176.0,Larceny-Non Vehicle,33.70228,-84.40817,2010-01-15,63,1,59
100191330.0,Auto Theft,33.74636,-84.35469,2010-01-19,89,1,24
100271248.0,Burglary-Residence,33.76486,-84.42423,2010-01-27,66,6,61
100192003.0,Burglary-Residence,33.75225,-84.34726,2010-01-19,42,1,40
100281025.0,Larceny-Non Vehicle,33.68841,-84.48742,2010-01-28,24,1,23
100281579.0,Larceny-Non Vehicle,33.68841,-84.48742,2010-01-28,24,1,23
100071347.0,Auto Theft,33.69438,-84.5211,2010-01-07,19,1,17
100051027.0,Larceny-Non Vehicle,33.77504,-84.34655,2010-01-05,90,1,75
100142103.0,Burglary-Residence,33.69033,-84.35399,2010-01-14,86,1,46
100191505.0,Burglary-Residence,33.7748,-84.4806,2010-01-19,65,1,60
100100241.0,Burglary-Nonres,33.73268,-84.43816,2010-01-10,12,4,21
100040236.0,Auto Theft,33.71265,-84.38851,2010-01-04,1,1,1
100132220.0,Burglary-Residence,33.68869,-84.36881,2010-01-13,43,7,41
100011629.0,Larceny-From Vehicle,33.70594,-84.51216,2010-01-01,80,1,17
100071361.0,Larceny-Non Vehicle,33.74952,-84.40352,2010-01-07,91,1,49
100051519.0,Burglary-Residence,33.70081,-84.45327,2010-01-05,3,1,3
100161256.0,Auto Theft,33.82798,-84.41576,2010-01-16,92,1,39
100180335.0,Robbery-Pedestrian,33.69311,-84.3583,2010-01-18,93,1,46
100271523.0,Burglary-Residence,33.78733,-84.44639,2010-01-27,94,1,57
100131336.0,Larceny-Non Vehicle,33.76368,-84.42962,2010-01-13,66,1,61
100070165.0,Burglary-Nonres,33.75219,-84.46878,2010-01-07,78,1,72
100160555.0,Burglary-Nonres,33.77129,-84.385,2010-01-16,14,2,25
100021147.0,Burglary-Residence,33.71398,-84.38623,2010-01-02,79,1,1
100141200.0,Burglary-Nonres,33.81629,-84.36658,2010-01-14,17,1,8
100260661.0,Larceny-From Vehicle,33.76074,-84.38561,2010-01-26,15,1,54
100020932.0,Larceny-From Vehicle,33.76492,-84.39547,2010-01-02,15,1,76
100152355.0,Burglary-Residence,33.74505,-84.40523,2010-01-16,39,1,38
100292178.0,Robbery-Pedestrian,33.68677,-84.49773,2010-01-29,24,1,23
100050499.0,Agg Assault,33.72832,-84.43319,2010-01-05,95,1,77
100061832.0,Burglary-Residence,33.71772,-84.41632,2010-01-06,96,1,14
100010972.0,Larceny-Non Vehicle,33.73328,-84.391,2010-01-01,18,5,16
100020875.0,Burglary-Residence,33.70055,-84.45149,2010-01-02,97,1,3
100112003.0,Auto Theft,33.75321,-84.38009,2010-01-11,15,4,66
100140527.0,Larceny-From Vehicle,33.75431,-84.4793,2010-01-14,78,1,72
100061646.0,Larceny-From Vehicle,33.79151,-84.39455,2010-01-06,76,1,47
100070623.0,Larceny-Non Vehicle,33.741,-84.42955,2010-01-07,34,1,34
100281054.0,Larceny-From Vehicle,33.75676,-84.37081,2010-01-28,35,1,50
100231227.0,Burglary-Residence,33.72766,-84.3999,2010-01-23,28,1,26
100282139.0,Larceny-From Vehicle,33.78296,-84.35415,2010-01-28,2,1,2
100050994.0,Larceny-From Vehicle,33.75161,-84.39297,2010-01-05,15,4,36
100200416.0,Auto Theft,33.71944,-84.42639,2010-01-20,98,1,10
100081367.0,Larceny-Non Vehicle,33.67706,-84.40849,2010-01-08,74,1,68
100310643.0,Larceny-Non Vehicle,33.77469,-84.36561,2010-01-31,14,3,64
100291093.0,Burglary-Residence,33.71347,-84.39079,2010-01-29,1,11,1
100081477.0,Larceny-From Vehicle,33.79789,-84.37101,2010-01-08,51,12,51
100110636.0,Larceny-From Vehicle,33.6831,-84.49628,2010-01-11,24,1,23
100071063.0,Burglary-Residence,33.71246,-84.41727,2010-01-07,63,1,59
100130910.0,Larceny-Non Vehicle,33.70764,-84.37787,2010-01-13,13,1,11
100060440.0,Larceny-From Vehicle,33.79553,-84.41586,2010-01-06,20,1,18
100200391.0,Burglary-Nonres,33.7129,-84.35007,2010-01-20,85,1,55
100221240.0,Larceny-Non Vehicle,33.76015,-84.3507,2010-01-22,99,1,78
100010964.0,Larceny-Non Vehicle,33.84373,-84.37137,2010-01-01,81,7,67
100281112.0,Burglary-Residence,33.77262,-84.44632,2010-01-28,47,1,44
100100879.0,Larceny-Non Vehicle,33.77735,-84.47741,2010-01-10,65,8,60
100010332.0,Agg Assault,33.74614,-84.33607,2010-01-01,45,7,42
100271644.0,Burglary-Residence,33.80312,-84.4011,2010-01-27,100,1,18
100200305.0,Larceny-From Vehicle,33.74907,-84.39761,2010-01-20,15,4,36
100300840.0,Larceny-Non Vehicle,33.7734,-84.35467,2010-01-30,101,1,78
100261746.0,Burglary-Residence,33.71461,-84.41689,2010-01-26,96,1,14
100221370.0,Burglary-Residence,33.72132,-84.43284,2010-01-22,7,1,10
100192054.0,Agg Assault,33.75795,-84.37117,2010-01-19,35,1,50
100252030.0,Auto Theft,33.68199,-84.40785,2010-01-25,68,4,63
100270735.0,Burglary-Residence,33.70588,-84.41201,2010-01-27,63,1,59
100230609.0,Burglary-Residence,33.73348,-84.41978,2010-01-23,34,1,34
100231481.0,Larceny-From Vehicle,33.77255,-84.3777,2010-01-23,35,7,25
100160438.0,Larceny-Non Vehicle,33.77343,-84.36351,2010-01-16,101,1,78
100240481.0,Larceny-From Vehicle,33.77736,-84.38442,2010-01-24,14,1,25
100091637.0,Auto Theft,33.73439,-84.361,2010-01-09,67,1,62
100100589.0,Larceny-Non Vehicle,33.69205,-84.36595,2010-01-10,102,1,41
100202344.0,Burglary-Residence,33.76575,-84.42106,2010-01-20,66,1,61
100061470.0,Larceny-Non Vehicle,33.85166,-84.36235,2010-01-06,73,3,67
100261864.0,Larceny-Non Vehicle,33.76793,-84.39577,2010-01-26,15,1,76
100240925.0,Robbery-Pedestrian,33.72991,-84.41607,2010-01-24,34,1,34
100221028.0,Burglary-Residence,33.72475,-84.40103,2010-01-22,28,1,26
100190830.0,Larceny-Non Vehicle,33.75454,-84.37601,2010-01-19,103,1,50
100201368.0,Burglary-Residence,33.70756,-84.41632,2010-01-20,63,1,59
100300366.0,Auto Theft,33.67628,-84.41592,2010-01-30,74,1,68
100031438.0,Agg Assault,33.78421,-84.46026,2010-01-03,104,1,57
100010506.0,Agg Assault,33.69636,-84.385,2010-01-01,105,1,41
100061818.0,Burglary-Residence,33.74354,-84.3508,2010-01-06,58,1,24
100291239.0,Larceny-From Vehicle,33.84425,-84.37311,2010-01-29,52,4,67
100190033.0,Burglary-Residence,33.74821,-84.40256,2010-01-19,91,1,49
100111799.0,Larceny-From Vehicle,33.79282,-84.35257,2010-01-11,54,1,51
100041232.0,Larceny-Non Vehicle,33.6552,-84.51009,2010-01-04,11,4,5
100140284.0,Burglary-Residence,33.79349,-84.36793,2010-01-14,54,1,51
100301259.0,Larceny-From Vehicle,33.75416,-84.33731,2010-01-30,42,2,40
100231270.0,Larceny-From Vehicle,33.79016,-84.38283,2010-01-23,56,1,12
100461019.0,Burglary-Residence,33.81243,-84.35103,2010-02-15,17,1,51
100321903.0,Larceny-From Vehicle,33.77113,-84.36494,2010-02-01,35,1,35
100411441.0,Larceny-Non Vehicle,33.84983,-84.37753,2010-02-10,52,1,67
100510768.0,Larceny-Non Vehicle,33.81214,-84.47861,2010-02-20,83,1,73
100360912.0,Larceny-Non Vehicle,33.67462,-84.39927,2010-02-05,74,1,68
100361072.0,Burglary-Residence,33.69079,-84.5247,2010-02-05,57,1,53
100510234.0,Larceny-From Vehicle,33.76864,-84.39855,2010-02-20,15,1,49
100571980.0,Larceny-Non Vehicle,33.81906,-84.3513,2010-02-26,17,4,15
100450181.0,Larceny-From Vehicle,33.77113,-84.36494,2010-02-14,35,1,35
100591289.0,Agg Assault,33.73579,-84.44148,2010-02-28,23,1,21
100360609.0,Larceny-From Vehicle,33.80174,-84.41093,2010-02-05,20,1,30
100410675.0,Burglary-Residence,33.69799,-84.50061,2010-02-10,106,1,17
100561719.0,Burglary-Residence,33.70649,-84.48782,2010-02-25,21,1,19
100521204.0,Auto Theft,33.75431,-84.4793,2010-02-21,78,1,72
100552211.0,Larceny-Non Vehicle,33.85252,-84.36116,2010-02-24,73,3,67
100481264.0,Larceny-Non Vehicle,33.86282,-84.40187,2010-02-17,107,1,71
100401837.0,Auto Theft,33.83777,-84.38154,2010-02-09,41,4,9
100380659.0,Burglary-Residence,33.7005,-84.46574,2010-02-07,3,11,3
100401142.0,Burglary-Nonres,33.81633,-84.38077,2010-02-09,108,1,8
100500794.0,Larceny-Non Vehicle,33.76158,-84.38496,2010-02-19,15,5,54
100352198.0,Larceny-Non Vehicle,33.80388,-84.41278,2010-02-04,20,3,30
100561290.0,Auto Theft,33.75266,-84.3918,2010-02-25,15,1,13
100380237.0,Larceny-From Vehicle,33.75783,-84.41419,2010-02-07,37,7,37
100342180.0,Larceny-From Vehicle,33.75168,-84.38198,2010-02-03,15,2,66
100530309.0,Burglary-Nonres,33.77683,-84.35269,2010-02-22,2,1,2
100470103.0,Auto Theft,33.74954,-84.40249,2010-02-16,91,1,49
100470295.0,Robbery-Pedestrian,33.81215,-84.35766,2010-02-16,17,1,15
100450966.0,Larceny-Non Vehicle,33.84676,-84.36212,2010-02-14,36,3,6
100460069.0,Burglary-Residence,33.75283,-84.36687,2010-02-15,35,2,50
72692336.0,Agg Assault,33.72212,-84.3946,2010-02-24,28,7,26
100411747.0,Agg Assault,33.69258,-84.49266,2010-02-10,21,1,19
100460553.0,Burglary-Nonres,33.7858,-84.41208,2010-02-15,50,4,47
100450430.0,Auto Theft,33.67424,-84.49697,2010-02-14,24,1,23
100460222.0,Burglary-Residence,33.72642,-84.54342,2010-02-15,109,1,17
100580517.0,Larceny-From Vehicle,33.72847,-84.40894,2010-02-27,16,1,14
100332076.0,Larceny-From Vehicle,33.74034,-84.34521,2010-02-02,75,1,69
100490914.0,Auto Theft,33.778,-84.38424,2010-02-18,14,2,25
100322204.0,Agg Assault,33.7118,-84.35004,2010-02-01,85,1,55
100531074.0,Larceny-Non Vehicle,33.8012,-84.43362,2010-02-22,110,1,73
100482242.0,Larceny-From Vehicle,33.80334,-84.39351,2010-02-17,111,4,18
100331366.0,Auto Theft,33.74229,-84.43705,2010-02-02,23,1,21
100451564.0,Larceny-Non Vehicle,33.72843,-84.41991,2010-02-14,98,1,77
100471258.0,Burglary-Residence,33.70135,-84.4062,2010-02-16,63,7,59
100571023.0,Burglary-Residence,33.73065,-84.38805,2010-02-26,112,7,16
100510664.0,Burglary-Residence,33.6841,-84.4012,2010-02-23,68,1,63
100531559.0,Larceny-From Vehicle,33.75496,-84.38941,2010-02-22,15,4,29
100540402.0,Larceny-From Vehicle,33.80979,-84.42101,2010-02-23,113,1,30
100321261.0,Burglary-Residence,33.81799,-84.46122,2010-02-01,114,1,73
100451014.0,Agg Assault,33.70565,-84.46066,2010-02-14,38,1,19
100510924.0,Burglary-Residence,33.80256,-84.43793,2010-02-20,110,1,73
100430751.0,Larceny-From Vehicle,33.71973,-84.46618,2010-02-12,38,1,19
100400623.0,Burglary-Nonres,33.71571,-84.34997,2010-02-09,85,1,55
100321946.0,Burglary-Nonres,33.77075,-84.38649,2010-02-01,15,2,54
100370141.0,Larceny-Non Vehicle,33.7387,-84.43431,2010-02-06,23,4,21
100321930.0,Robbery-Pedestrian,33.77548,-84.4574,2010-02-01,47,1,70
100491369.0,Burglary-Residence,33.74926,-84.42259,2010-02-18,61,1,58
100512217.0,Larceny-From Vehicle,33.80989,-84.35965,2010-02-20,54,3,51
100542265.0,Burglary-Residence,33.74536,-84.43536,2010-02-23,23,1,21
100330798.0,Larceny-Non Vehicle,33.74023,-84.40742,2010-02-02,28,1,56
100392038.0,Larceny-Non Vehicle,33.78384,-84.37897,2010-02-08,14,4,12
100561059.0,Burglary-Residence,33.77876,-84.46378,2010-02-25,62,1,70
100470515.0,Larceny-From Vehicle,33.77787,-84.38115,2010-02-16,14,1,25
100390607.0,Burglary-Residence,33.72698,-84.48309,2010-02-08,115,1,48
100320634.0,Auto Theft,33.79988,-84.47023,2010-02-01,60,1,33
100320327.0,Larceny-From Vehicle,33.6639,-84.52377,2010-02-01,5,1,5
100581343.0,Larceny-Non Vehicle,33.75312,-84.39208,2010-02-27,15,1,13
100360814.0,Larceny-Non Vehicle,33.7532,-84.39201,2010-02-05,15,4,13
100361396.0,Larceny-From Vehicle,33.74331,-84.34922,2010-02-05,75,1,24
100510161.0,Burglary-Residence,33.71732,-84.44081,2010-02-20,7,1,7
100381064.0,Auto Theft,33.80721,-84.36643,2010-02-07,51,4,15
100480780.0,Auto Theft,33.68461,-84.4963,2010-02-17,24,1,23
100572468.0,Auto Theft,33.75127,-84.4771,2010-02-26,78,8,72
100521321.0,Larceny-Non Vehicle,33.77552,-84.50723,2010-02-21,116,1,43
100470094.0,Agg Assault,33.76167,-84.4534,2010-02-16,117,1,45
100371909.0,Burglary-Residence,33.80342,-84.46921,2010-02-06,60,1,57
